X,Y,Z,azimuth,dip,polarity,formation,formation_id
-700077.221124427,4544308.012125215,296.2340087890625,126.9789146868716,70,1,Tournaisian Plutonites,34
-695308.1705801666,4543343.0676730685,208.14801025390625,164.5690136304921,70,1,Tournaisian Plutonites,34
-692252.3429197179,4541537.757039512,205.06301879882807,227.7457717006481,70,1,Tournaisian Plutonites,34
-687784.6024065926,4540736.08036558,334.49200439453125,132.50546743579167,70,1,Tournaisian Plutonites,34
-686061.8610413239,4537917.607865374,331.156005859375,344.6989976005131,70,1,Tournaisian Plutonites,34
-690224.8356714648,4537468.550188446,277.4040222167969,324.9137111588406,70,1,Tournaisian Plutonites,34
-694501.5414430094,4537807.50062136,349.3970031738281,323.06413783315537,70,1,Tournaisian Plutonites,34
-693674.9542236519,4535183.666054386,277.78399658203125,235.1805534642584,70,1,Tournaisian Plutonites,34
-690683.7223875191,4532904.797206258,178.3412628173828,185.65975077090047,70,1,Tournaisian Plutonites,34
-694668.6011323495,4532750.741642433,310.4800109863281,410.3865007823631,70,1,Tournaisian Plutonites,34
-698155.2304763561,4533699.437164071,283.0840148925781,215.00243063981375,70,1,Tournaisian Plutonites,34
-693789.8645341609,4531775.311037656,223.7200164794922,233.9683262701756,70,1,Tournaisian Plutonites,34
-689039.7447237693,4530628.182367805,314.2670288085937,205.9111442270588,70,1,Tournaisian Plutonites,34
-684425.3887127368,4529836.8700781055,240.9960174560547,234.1345594128483,70,1,Tournaisian Plutonites,34
-688156.5977032685,4529089.767185426,282.1280212402344,358.0251602502821,70,1,Tournaisian Plutonites,34
-693142.6631288654,4528917.842107555,239.11001586914065,358.02516025027364,70,1,Tournaisian Plutonites,34
-696987.013494611,4529472.704213114,278.7640075683594,156.38763718376916,70,1,Tournaisian Plutonites,34
-695999.907679173,4531026.963541583,264.4540100097656,351.3137442526225,70,1,Tournaisian Plutonites,34
-700925.5797978531,4530655.743602405,354.96099853515625,363.9094724190365,70,1,Tournaisian Plutonites,34
-705636.5190101952,4531606.224514711,335.0790405273437,385.9840211337189,70,1,Tournaisian Plutonites,34
-707057.8404896816,4535742.045188619,377.7620239257813,447.9563842525408,70,1,Tournaisian Plutonites,34
-707235.9915449006,4540734.654327516,330.29400634765625,447.9563842525373,70,1,Tournaisian Plutonites,34
-707414.2429819265,4545730.076624755,485.9390258789063,447.95638425254174,70,1,Tournaisian Plutonites,34
-705964.6069068405,4548689.43669913,359.3800048828125,184.0779985327316,70,1,Tournaisian Plutonites,34
-704851.5241172401,4545865.611570748,451.0920104980469,349.48485003276807,70,1,Tournaisian Plutonites,34
-702133.382579739,4544959.31444653,366.4140319824219,352.95680447663966,70,1,Tournaisian Plutonites,34
-701278.8291807076,4543049.915566436,391.3370056152344,118.70439811402277,70,1,Tournaisian Plutonites,34
-694704.9959004823,4549377.166741119,315.9350280761719,178.01480774232516,70,1,Tournaisian Plutonites,35
-689707.9968344658,4549550.372786712,464.3680114746094,178.01480774232516,70,1,Tournaisian Plutonites,35
-684710.9977684492,4549723.578832304,386.4390258789063,178.01480774232516,70,1,Tournaisian Plutonites,35
-679713.9987024327,4549896.784877896,434.3440246582031,178.0148077423273,70,1,Tournaisian Plutonites,35
-678079.4639204566,4546472.479414732,451.3680419921875,268.1167599286375,70,1,Tournaisian Plutonites,35
-677915.149811168,4541475.18005673,294.80401611328125,268.11675992864264,70,1,Tournaisian Plutonites,35
-680748.7217367652,4541954.132026187,313.3372497558594,373.98078045081655,70,1,Tournaisian Plutonites,35
-685282.4330924522,4542459.668858269,295.2230224609375,374.2936570666725,70,1,Tournaisian Plutonites,35
-689645.4988359128,4543829.061093628,296.9480285644531,365.96056201693096,70,1,Tournaisian Plutonites,35
-692478.3617051403,4545531.476675657,410.1120300292969,357.1804821139305,70,1,Tournaisian Plutonites,35
-696262.8676142818,4545135.057506571,262.3520202636719,373.49070481029617,70,1,Tournaisian Plutonites,35
-700423.8638430766,4544977.962094902,388.260009765625,420.5870822083911,70,1,Tournaisian Plutonites,35
-701466.5898506815,4547072.328339609,345.6960144042969,131.8061362490746,70,1,Tournaisian Plutonites,35
-701396.9698360295,4548555.962168786,362.7480163574219,154.3624841148038,70,1,Tournaisian Plutonites,35
-697964.8752325705,4547637.761815658,189.88400268554688,357.7139032890852,70,1,Tournaisian Plutonites,36
-697517.2219682402,4547064.502673468,188.9232482910156,203.06878940527704,70,1,Tournaisian Plutonites,36
-682925.8058789803,4531148.103273736,224.85250854492188,347.3781645735495,70,1,Tournaisian Plutonites,37
-686104.9303805014,4532807.93185239,165.74400329589844,124.96467543617943,70,1,Tournaisian Plutonites,37
-681871.6041418071,4532192.023537447,101.14800262451172,216.63284998591047,70,1,Tournaisian Plutonites,37
-681146.0653529417,4536409.004196407,299.7152709960937,128.06407683012793,70,1,Tournaisian Plutonites,37
-677834.4124420767,4539019.707398453,279.7820129394531,268.1167599286373,70,1,Tournaisian Plutonites,37
-677670.0983327882,4534022.408040451,280.0599975585937,268.1167599286373,70,1,Tournaisian Plutonites,37
-678665.7299983252,4531278.02181991,176.31900024414062,214.5768794955854,70,1,Tournaisian Plutonites,37
-683703.6133673872,4549255.10958874,325.8000183105469,386.8526551909239,70,1,Tournaisian Plutonites,38
-704632.8236239535,4547602.427797007,471.5310363769531,197.0,20,1,Upper Devonian Siliciclastics,4
-704546.3747247703,4547240.165743287,507.6880187988281,196.0,30,1,Upper Devonian Siliciclastics,4
-704694.5728376559,4546902.603375047,458.6440124511719,200.0,50,1,Upper Devonian Siliciclastics,4
-700310.378664792,4545334.17334701,346.1430053710937,207.0,37,1,Upper Devonian Siliciclastics,4
-697408.1656207838,4544710.506288617,356.4120178222656,15.0,65,1,Upper Devonian Siliciclastics,4
-697099.4195522718,4543928.34958172,271.1240234375,12.0,55,1,Upper Devonian Siliciclastics,4
-695901.4848064472,4543691.644262527,235.5600128173828,5.0,40,1,Upper Devonian Siliciclastics,4
-695234.593298462,4544659.048610532,193.24002075195312,342.0,57,1,Upper Devonian Siliciclastics,4
-695069.9287285891,4544366.768999008,214.7040100097656,343.0,50,1,Upper Devonian Siliciclastics,4
-694577.9933260941,4544154.7633652985,260.54803466796875,327.0,65,1,Upper Devonian Siliciclastics,4
-694398.9206063573,4544566.42478998,286.8000183105469,15.0,50,1,Upper Devonian Siliciclastics,4
-694203.3814296334,4544827.829794653,314.4760131835937,30.0,57,1,Upper Devonian Siliciclastics,4
-697607.8214117539,4533626.522429052,270.3000183105469,3.0,60,1,Upper Devonian Siliciclastics,4
-696875.0640758199,4533517.432151511,301.0240173339844,0.0,70,1,Upper Devonian Siliciclastics,4
-696185.5311894775,4533546.248451239,269.3330078125,185.0,40,1,Upper Devonian Siliciclastics,4
-695901.4848064469,4533227.210847111,285.11199951171875,47.0,30,1,Upper Devonian Siliciclastics,4
-695500.114917382,4533054.313048745,262.4727783203125,10.0,75,1,Upper Devonian Siliciclastics,4
-692538.2109667948,4531821.387081822,246.864013671875,351.0,50,1,Upper Devonian Siliciclastics,4
-687610.6237133505,4532930.8146213405,137.28001403808594,2.0,22,1,Upper Devonian Siliciclastics,4
-704840.7126434171,4530656.385249974,344.8160095214844,10.0,60,1,Upper Carboniferous Volcanics,1
-703947.4073518573,4537926.326009853,320.1430053710937,33.0,35,1,Upper Carboniferous Volcanics,1
-703795.0926247248,4538072.465815615,309.30499267578125,213.0,50,1,Upper Carboniferous Volcanics,1
-705647.0544590125,4548915.11316496,348.64801025390625,225.0,38,1,Mid Carboniferous Shales,2
-702868.3398424091,4530662.045594561,373.0520324707031,353.0,74,1,Visean Shales,3
