X,Y,Z,formation,formation_id
-694633.456183699,4537743.018534487,358.66043,Tournaisian Plutonites,34
-694868.8445243522,4535976.682060479,306.0756,Tournaisian Plutonites,34
-692164.4128756154,4534219.873064426,341.72977,Tournaisian Plutonites,34
-691147.5509635143,4533664.004549,308.75574,Tournaisian Plutonites,34
-690720.50534574,4537128.883698688,192.07452,Tournaisian Plutonites,34
-685263.935297629,4529784.756085449,291.9967,Tournaisian Plutonites,34
-685213.9209773553,4531233.277280632,261.5336,Tournaisian Plutonites,34
-684938.9619971296,4533611.847619102,171.76137,Tournaisian Plutonites,34
-683102.1369195117,4532965.30632019,115.3731,Tournaisian Plutonites,34
-682120.166260788,4533759.018341879,254.36737,Tournaisian Plutonites,34
-681581.7246979426,4535897.436514263,289.99158,Tournaisian Plutonites,34
-679687.7491560185,4537797.619074119,299.34436,Tournaisian Plutonites,34
-679141.276883425,4540838.084036693,293.35907,Tournaisian Plutonites,34
-681914.4242023134,4542536.344345023,292.9445,Tournaisian Plutonites,34
-684560.7000790762,4542454.599818691,297.5928,Tournaisian Plutonites,34
-689917.0498566764,4541012.244926944,336.81168,Tournaisian Plutonites,34
-691080.2347199667,4544637.347966998,266.22137,Tournaisian Plutonites,34
-693125.6460345335,4545243.290853061,339.71417,Tournaisian Plutonites,34
-695275.8119040997,4544946.48563749,196.05237,Tournaisian Plutonites,34
-695076.9242171253,4543408.006000415,208.73534,Tournaisian Plutonites,34
-701321.3829593016,4547550.940803842,296.00592,Tournaisian Plutonites,34
-705030.761731289,4549038.495212393,372.82172,Tournaisian Plutonites,34
-700673.4676369457,4545443.247587905,382.48727,Tournaisian Plutonites,34
-700412.1632466449,4544955.935375088,358.22003,Tournaisian Plutonites,34
-700816.6455785364,4544251.619219322,334.65475,Tournaisian Plutonites,34
