X,Y,Z,formation,formation_id
-707396.4128513315,4545230.3946394455,465.7360229492188,Tournaisian Plutonites,34
-678161.6209751008,4548971.129093733,491.51800537109375,Tournaisian Plutonites,35
-686517.3150464006,4541014.139839646,341.2080078125,Tournaisian Plutonites,34
-698921.1722984225,4547758.997259321,245.656005859375,Tournaisian Plutonites,36
-686488.0021728468,4540531.988794015,359.9280090332031,Tournaisian Plutonites,34
-686104.9303805014,4532807.93185239,165.74400329589844,Tournaisian Plutonites,37
-678095.8953313854,4546972.209350532,417.7970275878906,Tournaisian Plutonites,35
-688405.0435313823,4537848.863577054,381.9120178222656,Tournaisian Plutonites,34
-699636.7443405096,4548997.766362852,278.0400085449219,Tournaisian Plutonites,35
-696017.5466322278,4528971.244551275,296.82403564453125,Tournaisian Plutonites,34
-697734.5690286948,4543804.661403593,217.0760040283203,Tournaisian Plutonites,34
-692344.397575462,4531557.42882212,255.28001403808597,Tournaisian Plutonites,34
-684158.9734790748,4529227.609712023,303.13201904296875,Tournaisian Plutonites,34
-683565.6879679309,4533226.44963635,151.1710205078125,Tournaisian Plutonites,37
-692955.8441917279,4532106.938952949,271.0600280761719,Tournaisian Plutonites,34
-698225.9741539229,4543888.846348026,224.00001525878903,Tournaisian Plutonites,34
-700670.4543893745,4544286.11033473,306.3720092773437,Tournaisian Plutonites,34
-682277.3294098751,4534481.797867781,247.04800415039065,Tournaisian Plutonites,37
-677768.6867983614,4537020.787655252,343.5320129394531,Tournaisian Plutonites,37
-681871.6041418071,4532192.023537447,101.14800262451172,Tournaisian Plutonites,37
-697990.3811122419,4530930.126052499,377.416015625,Tournaisian Plutonites,34
-690020.1032788104,4541028.370776378,311.5480041503906,Tournaisian Plutonites,34
-704449.1995150598,4545863.346848257,444.1440124511719,Tournaisian Plutonites,34
-698961.0167611018,4530710.378677767,387.0960083007813,Tournaisian Plutonites,34
-684746.2145491887,4531045.87469394,270.14898681640625,Tournaisian Plutonites,37
-692706.1962740758,4549446.449159356,334.1310119628906,Tournaisian Plutonites,35
-702869.3549698197,4530836.52703071,396.7440185546875,Tournaisian Plutonites,34
-706834.9073821635,4548830.331343589,305.5267639160156,Tournaisian Plutonites,34
-684658.676507099,4529210.379396198,336.9760131835937,Tournaisian Plutonites,34
-701423.3963735673,4530657.322733896,404.1637573242188,Tournaisian Plutonites,34
-678843.6292703592,4538470.359032616,290.427001953125,Tournaisian Plutonites,37
-707360.7525901413,4544231.030668826,412.9200134277344,Tournaisian Plutonites,34
-702860.7499827505,4544414.066333971,387.4900207519531,Tournaisian Plutonites,34
-697256.892613768,4543672.132782771,209.34800720214844,Tournaisian Plutonites,34
-686556.3751665467,4537884.833421228,335.7040100097656,Tournaisian Plutonites,34
-692463.4599447021,4532043.144181556,263.8919982910156,Tournaisian Plutonites,34
-686714.3419942671,4542590.427956039,352.9280090332031,Tournaisian Plutonites,35
-689645.4988359128,4543829.061093628,296.9480285644531,Tournaisian Plutonites,35
-678214.8989826278,4549948.746691574,483.3480224609375,Tournaisian Plutonites,35
-693946.3435728092,4532200.249872123,255.1800079345703,Tournaisian Plutonites,34
-706571.7500866841,4531956.10698651,350.9000244140625,Tournaisian Plutonites,34
-704487.6619605859,4545556.804402241,428.46002197265625,Tournaisian Plutonites,34
-681817.1909312456,4532630.452428996,116.14801025390624,Tournaisian Plutonites,37
-678128.0431155021,4540660.323429356,270.5240173339844,Tournaisian Plutonites,35
-680235.6536922932,4537521.475579407,288.0360107421875,Tournaisian Plutonites,37
-694098.1638597153,4542813.242128895,155.5,Tournaisian Plutonites,34
-696010.8984743415,4532430.841314897,230.2360076904297,Tournaisian Plutonites,34
-694573.5906438007,4532175.420075808,242.82400512695312,Tournaisian Plutonites,34
-695749.7060237143,4530175.64836629,254.7840118408203,Tournaisian Plutonites,34
-678215.125533477,4539150.981411374,264.4840087890625,Tournaisian Plutonites,37
-686657.4886191959,4529141.4581329,325.35601806640625,Tournaisian Plutonites,34
-677604.3726890727,4532023.48829725,249.44451904296875,Tournaisian Plutonites,37
-695141.4752409623,4528848.920844256,297.7710266113281,Tournaisian Plutonites,34
-687447.9181209027,4537913.733169287,313.4520263671875,Tournaisian Plutonites,34
-686058.1389796026,4531602.525122826,163.31600952148438,Tournaisian Plutonites,37
-697203.4954334906,4549290.563718323,188.3077545166016,Tournaisian Plutonites,35
-685818.3947326979,4533217.684610206,219.38525390625,Tournaisian Plutonites,37
-679713.9987024327,4549896.784877896,434.3440246582031,Tournaisian Plutonites,35
-704001.4706798763,4545506.985555548,410.4520263671875,Tournaisian Plutonites,34
-679193.2067347608,4540519.669815556,285.0160217285156,Tournaisian Plutonites,35
-677834.4124420767,4539019.707398453,279.7820129394531,Tournaisian Plutonites,37
-697745.6666209014,4533412.631570846,274.6990051269531,Tournaisian Plutonites,34
-681438.2910518661,4536003.728368464,290.2260131835937,Tournaisian Plutonites,37
-702592.8788571924,4543991.963786569,363.0280151367188,Tournaisian Plutonites,34
-698657.2934722392,4544745.631773731,363.6600036621094,Tournaisian Plutonites,35
-678079.4639204566,4546472.479414732,451.3680419921875,Tournaisian Plutonites,35
-689655.7067873413,4529038.076237951,210.7700042724609,Tournaisian Plutonites,34
-700187.4355552763,4544229.533917047,282.447021484375,Tournaisian Plutonites,34
-699410.1447624802,4547761.310245535,236.0120086669922,Tournaisian Plutonites,36
-701827.1059212212,4547501.5702376375,297.5650329589844,Tournaisian Plutonites,35
-692252.0560763372,4534349.821635383,342.552001953125,Tournaisian Plutonites,34
-695704.3957136857,4549342.525532001,366.842041015625,Tournaisian Plutonites,35
-691736.5729349786,4538006.197786346,215.2490081787109,Tournaisian Plutonites,34
-694814.794042993,4530527.289167885,223.57101440429688,Tournaisian Plutonites,34
-707235.9915449006,4540734.654327516,330.29400634765625,Tournaisian Plutonites,34
-702116.3108625474,4545609.316072035,402.2850036621094,Tournaisian Plutonites,35
-688696.7052161986,4540573.8371848455,291.4280090332031,Tournaisian Plutonites,34
-702436.7569513716,4543110.830820557,406.885009765625,Tournaisian Plutonites,34
