X,Y,Z,azimuth,dip,polarity,formation,formation_id
-677915.149811168,4541475.18005673,294.80401611328125,268.11675992864264,60.3365564366476,1,Tournaisian Plutonites,35
-689039.7447237693,4530628.182367805,314.2670288085937,205.9111442270588,78.98884489978789,1,Tournaisian Plutonites,34
-701396.9698360295,4548555.962168786,362.7480163574219,154.3624841148038,60.557789911799915,1,Tournaisian Plutonites,35
-688156.5977032685,4529089.767185426,282.1280212402344,358.0251602502821,79.66256650996894,1,Tournaisian Plutonites,34
-695308.1705801666,4543343.0676730685,208.14801025390625,164.5690136304921,79.83344160223436,1,Tournaisian Plutonites,34
-694704.9959004823,4549377.166741119,315.9350280761719,178.01480774232516,58.11515665881081,1,Tournaisian Plutonites,35
-707235.9915449006,4540734.654327516,330.29400634765625,447.9563842525373,80.31461046501289,1,Tournaisian Plutonites,34
-704851.5241172401,4545865.611570748,451.0920104980469,349.48485003276807,80.69672264988465,1,Tournaisian Plutonites,34
-689707.9968344658,4549550.372786712,464.3680114746094,178.01480774232516,60.28065454256793,1,Tournaisian Plutonites,35
-692252.3429197179,4541537.757039512,205.06301879882807,227.7457717006481,79.64377956114295,1,Tournaisian Plutonites,34
-693789.8645341609,4531775.311037656,223.7200164794922,233.9683262701756,82.20923341664965,1,Tournaisian Plutonites,34
-694501.5414430094,4537807.50062136,349.3970031738281,323.06413783315537,79.55107302625211,1,Tournaisian Plutonites,34
-684710.9977684492,4549723.578832304,386.4390258789063,178.01480774232516,60.976938502261504,1,Tournaisian Plutonites,35
-700077.221124427,4544308.012125215,296.2340087890625,126.9789146868716,82.14742829432896,1,Tournaisian Plutonites,34
-694668.6011323495,4532750.741642433,310.4800109863281,410.3865007823631,79.02878264910075,1,Tournaisian Plutonites,34
-701466.5898506815,4547072.328339609,345.6960144042969,131.8061362490746,58.82366477465187,1,Tournaisian Plutonites,35
-697517.2219682402,4547064.502673468,188.9232482910156,203.06878940527704,59.26060485591388,1,Tournaisian Plutonites,36
-679713.9987024327,4549896.784877896,434.3440246582031,178.0148077423273,59.582645580441586,1,Tournaisian Plutonites,35
-683703.6133673872,4549255.10958874,325.8000183105469,386.8526551909239,59.035781688297256,1,Tournaisian Plutonites,38
-705964.6069068405,4548689.43669913,359.3800048828125,184.0779985327316,80.28908095985578,1,Tournaisian Plutonites,34
-686104.9303805014,4532807.93185239,165.74400329589844,124.96467543617943,40.61612424468026,1,Tournaisian Plutonites,37
-686061.8610413239,4537917.607865374,331.156005859375,344.6989976005131,78.53047938231967,1,Tournaisian Plutonites,34
-693142.6631288654,4528917.842107555,239.11001586914065,358.02516025027364,80.41014895486178,1,Tournaisian Plutonites,34
-690224.8356714648,4537468.550188446,277.4040222167969,324.9137111588406,78.14763919158565,1,Tournaisian Plutonites,34
-698155.2304763561,4533699.437164071,283.0840148925781,215.00243063981375,80.13770766413982,1,Tournaisian Plutonites,34
-707057.8404896816,4535742.045188619,377.7620239257813,447.9563842525408,78.51497219857899,1,Tournaisian Plutonites,34
-681871.6041418071,4532192.023537447,101.14800262451172,216.63284998591047,39.71771160289646,1,Tournaisian Plutonites,37
-684425.3887127368,4529836.8700781055,240.9960174560547,234.1345594128483,78.88001498097958,1,Tournaisian Plutonites,34
-693674.9542236519,4535183.666054386,277.78399658203125,235.1805534642584,79.27524304340353,1,Tournaisian Plutonites,34
-695999.907679173,4531026.963541583,264.4540100097656,351.3137442526225,80.80133638317375,1,Tournaisian Plutonites,34
-700423.8638430766,4544977.962094902,388.260009765625,420.5870822083911,60.391792292091495,1,Tournaisian Plutonites,35
-677670.0983327882,4534022.408040451,280.0599975585937,268.1167599286373,39.27439373917101,1,Tournaisian Plutonites,37
-705636.5190101952,4531606.224514711,335.0790405273437,385.9840211337189,78.28504342510138,1,Tournaisian Plutonites,34
-680748.7217367652,4541954.132026187,313.3372497558594,373.98078045081655,60.89949694579177,1,Tournaisian Plutonites,35
-697964.8752325705,4547637.761815658,189.88400268554688,357.7139032890852,59.35802162817086,1,Tournaisian Plutonites,36
-678079.4639204566,4546472.479414732,451.3680419921875,268.1167599286375,60.452846639935274,1,Tournaisian Plutonites,35
-687784.6024065926,4540736.08036558,334.49200439453125,132.50546743579167,80.39779068480838,1,Tournaisian Plutonites,34
-690683.7223875191,4532904.797206258,178.3412628173828,185.65975077090047,80.2377418209973,1,Tournaisian Plutonites,34
-682925.8058789803,4531148.103273736,224.85250854492188,347.3781645735495,40.65832158161551,1,Tournaisian Plutonites,37
-681146.0653529417,4536409.004196407,299.7152709960937,128.06407683012793,38.45910732215619,1,Tournaisian Plutonites,37
-677834.4124420767,4539019.707398453,279.7820129394531,268.1167599286373,39.50106476419177,1,Tournaisian Plutonites,37
-702133.382579739,4544959.31444653,366.4140319824219,352.95680447663966,80.35154908150393,1,Tournaisian Plutonites,34
-701278.8291807076,4543049.915566436,391.3370056152344,118.70439811402277,80.75537503781415,1,Tournaisian Plutonites,34
-707414.2429819265,4545730.076624755,485.9390258789063,447.95638425254174,79.92734598867781,1,Tournaisian Plutonites,34
-692478.3617051403,4545531.476675657,410.1120300292969,357.1804821139305,58.621506859415426,1,Tournaisian Plutonites,35
