X,Y,Z,formation_id,formation
-691980.0154,4543461.256,198.17201,40,Upper Devonian Siliciclastics
-691492.5053,4543836.454,209.73502,40,Upper Devonian Siliciclastics
-704449.2663,4530437.708,357.99902,67,Visean Shales
-704939.6708,4530522.235,344.596,67,Visean Shales
-690980.3922,4543732.939,231.684,40,Upper Devonian Siliciclastics
-690627.8183,4543935.926,237.55402,40,Upper Devonian Siliciclastics
-690552.0793,4532841.007,161.70801,40,Upper Devonian Siliciclastics
-689956.0096,4532835.229,159.08301,40,Upper Devonian Siliciclastics
-689458.202,4532788.868,162.41,40,Upper Devonian Siliciclastics
-688972.782,4532617.343,155.52402,40,Upper Devonian Siliciclastics
-688464.3794,4532495.684,155.50601,40,Upper Devonian Siliciclastics
-688602.5873,4532916.478,155.50401,40,Upper Devonian Siliciclastics
-688185.628,4533138.497,152.488,40,Upper Devonian Siliciclastics
-687747.0735,4533241.628,117.824005,40,Upper Devonian Siliciclastics
-687096.9525,4533162.179,107.198006,40,Upper Devonian Siliciclastics
-686600.0286,4533210.149,119.02901,40,Upper Devonian Siliciclastics
-686105.5515,4533271.03,202.774,40,Upper Devonian Siliciclastics
-703428.4701,4530697.017,365.9175,67,Visean Shales
-703879.8463,4530777.386,345.768,67,Visean Shales
-704366.273,4530886.239,328.976,67,Visean Shales
-704816.3053,4531095.302,318.276,67,Visean Shales
-703096.2481,4530753.515,400.72003,67,Visean Shales
-702601.0043,4530793.719,363.62802,67,Visean Shales
-703848.8778,4537799.106,330.984,51,Upper Carboniferous Volcanics
-703474.9497,4537531.724,302.95,51,Upper Carboniferous Volcanics
-703029.8626,4537306.469,287.36102,51,Upper Carboniferous Volcanics
-703682.7847,4538073.948,310.42978,51,Upper Carboniferous Volcanics
-702331.4269,4536709.276,267.004,51,Upper Carboniferous Volcanics
-694833.3878,4531125.784,229.48901,51,Upper Carboniferous Volcanics
-695329.2654,4531133.104,243.51501,51,Upper Carboniferous Volcanics
-695823.1938,4531056.21,261.83902,51,Upper Carboniferous Volcanics
-696319.3789,4531001.525,265.476,51,Upper Carboniferous Volcanics
-696814.786,4530944.271,284.076,51,Upper Carboniferous Volcanics
-697313.0973,4530973.659,304.63202,67,Visean Shales
-697812.1124,4530947.922,360.88,67,Visean Shales
-698308.0448,4530888.095,379.24002,51,Upper Carboniferous Volcanics
-698792.7946,4530772.191,392.35202,51,Upper Carboniferous Volcanics
-699270.0347,4530626.987,388.68903,51,Upper Carboniferous Volcanics
-699759.6756,4530704.723,416.212,67,Visean Shales
-700256.3951,4530726.321,396.73602,67,Visean Shales
-700746.827,4530650.589,350.855,51,Upper Carboniferous Volcanics
-701244.9553,4530667.802,383.92902,51,Upper Carboniferous Volcanics
-701741.9133,4530676.593,366.61603,51,Upper Carboniferous Volcanics
-702239.652,4530673.533,338.642,51,Upper Carboniferous Volcanics
-706486.3588,4536644.742,397.61526,51,Upper Carboniferous Volcanics
-706247.951,4537070.961,354.01102,51,Upper Carboniferous Volcanics
-706650.3605,4537088.874,354.67603,51,Upper Carboniferous Volcanics
-707104.963,4537062.635,344.07202,51,Upper Carboniferous Volcanics
-707496.7607,4548042.601,408.74802,76,Mid Carboniferous Shales
-707067.5464,4548208.701,414.06403,76,Mid Carboniferous Shales
-706581.3439,4548102.438,401.252,76,Mid Carboniferous Shales
-706714.4854,4548513.893,355.48,76,Mid Carboniferous Shales
-707212.9775,4548519.61,414.92,76,Mid Carboniferous Shales
-706447.3818,4548781.148,361.96002,51,Upper Carboniferous Volcanics
-705958.6401,4548689.011,351.38,76,Mid Carboniferous Shales
-705608.8944,4548592.445,361.398,76,Mid Carboniferous Shales
-705359.028,4548251.517,362.66452,76,Mid Carboniferous Shales
-705003.2863,4548046.755,380.756,76,Mid Carboniferous Shales
-705475.8312,4537174.965,362.52402,51,Upper Carboniferous Volcanics
-700469.227,4545513.144,396.68802,51,Upper Carboniferous Volcanics
-702384.551,4548338.36,338.83603,51,Upper Carboniferous Volcanics
-701896.0713,4548441.227,339.104,51,Upper Carboniferous Volcanics
-701542.5995,4548456.52,361.45,51,Upper Carboniferous Volcanics
-701111.8401,4548706.013,372.01202,51,Upper Carboniferous Volcanics
-700714.5147,4548897.284,399.153,51,Upper Carboniferous Volcanics
-700299.1285,4548934.65,338.11526,51,Upper Carboniferous Volcanics
-699803.3061,4548936.633,304.31,51,Upper Carboniferous Volcanics
-699323.0523,4549057.61,240.25201,51,Upper Carboniferous Volcanics
-698893.8322,4549231.973,212.33601,51,Upper Carboniferous Volcanics
-692260.0452,4530244.574,202.524,51,Upper Carboniferous Volcanics
-692880.9017,4530673.877,210.88,51,Upper Carboniferous Volcanics
-693101.5195,4530936.713,207.01102,51,Upper Carboniferous Volcanics
-696661.3903,4529686.898,268.288,51,Upper Carboniferous Volcanics
-696227.7785,4529933.876,255.98001,51,Upper Carboniferous Volcanics
-695849.0412,4530127.275,248.668,51,Upper Carboniferous Volcanics
-695387.102,4530315.049,241.18802,51,Upper Carboniferous Volcanics
-694921.5745,4530496.403,231.98401,51,Upper Carboniferous Volcanics
-698830.9828,4528912.425,289.13602,51,Upper Carboniferous Volcanics
-704264.9469,4548075.133,446.704,76,Mid Carboniferous Shales
-703766.3733,4548056.667,393.048,51,Upper Carboniferous Volcanics
-703268.0043,4548016.365,340.196,51,Upper Carboniferous Volcanics
-700670.622,4529743.336,359.34702,67,Visean Shales
-701138.3779,4529591.339,384.89603,67,Visean Shales
-692643.7334,4543228.151,224.25201,40,Upper Devonian Siliciclastics
-693111.9368,4543052.693,211.58002,40,Upper Devonian Siliciclastics
-697741.5092,4530624.675,357.42,67,Visean Shales
-705318.4635,4530909.656,309.66,67,Visean Shales
-705536.3713,4549001.729,330.828,76,Mid Carboniferous Shales
-705193.0995,4548665.209,359.27603,76,Mid Carboniferous Shales
-704809.3305,4548347.578,396.62802,76,Mid Carboniferous Shales
-705757.1859,4537419.343,338.03802,51,Upper Carboniferous Volcanics
-692224.7776,4543215.702,187.12001,40,Upper Devonian Siliciclastics
