X,Y,Z,formation,formation_id
-690419.475616398,4532881.232816335,155.55226135253906,Upper Devonian Siliciclastics,4.0
-690319.91613531,4532871.856797699,155.5360107421875,Upper Devonian Siliciclastics,4.0
-690220.3566542218,4532862.480779062,156.2670135498047,Upper Devonian Siliciclastics,4.0
-690120.7971731337,4532853.104760426,166.44400024414062,Upper Devonian Siliciclastics,4.0
-690021.2376920456,4532843.72874179,165.54299926757812,Upper Devonian Siliciclastics,4.0
-689921.6782109574,4532834.352723154,159.0830078125,Upper Devonian Siliciclastics,4.0
-689822.1187298694,4532824.976704517,186.0650177001953,Upper Devonian Siliciclastics,4.0
-689722.5592487813,4532815.600685881,173.552001953125,Upper Devonian Siliciclastics,4.0
-689622.9997676931,4532806.2246672455,171.64401245117188,Upper Devonian Siliciclastics,4.0
-689523.440286605,4532796.84864861,166.20401000976562,Upper Devonian Siliciclastics,4.0
-689423.880805517,4532787.472629973,162.41000366210938,Upper Devonian Siliciclastics,4.0
-689324.3213244288,4532778.096611337,156.10000610351562,Upper Devonian Siliciclastics,4.0
-689224.7618433407,4532768.720592701,155.5,Upper Devonian Siliciclastics,4.0
-689125.2023622526,4532759.344574065,172.2130126953125,Upper Devonian Siliciclastics,4.0
-689025.6428811644,4532749.968555428,161.66400146484375,Upper Devonian Siliciclastics,4.0
-688933.3770803161,4532774.120861529,155.5,Upper Devonian Siliciclastics,4.0
-688846.7096424057,4532824.00828686,155.5,Upper Devonian Siliciclastics,4.0
-688760.0422044955,4532873.895712189,155.5,Upper Devonian Siliciclastics,4.0
-688673.3747665852,4532923.78313752,155.5,Upper Devonian Siliciclastics,4.0
-688585.6713509263,4532971.235094485,155.5600128173828,Upper Devonian Siliciclastics,4.0
-688489.6232303488,4532999.069579096,176.9080047607422,Upper Devonian Siliciclastics,4.0
-688393.5751097712,4533026.904063706,181.44000244140625,Upper Devonian Siliciclastics,4.0
-688303.62859853,4533069.459055111,171.09100341796875,Upper Devonian Siliciclastics,4.0
-688216.0537340282,4533117.735789751,155.04800415039062,Upper Devonian Siliciclastics,4.0
-688128.4788695265,4533166.012524391,138.74301147460938,Upper Devonian Siliciclastics,4.0
-688040.9040050249,4533214.289259031,122.16000366210938,Upper Devonian Siliciclastics,4.0
-687953.3291405232,4533262.565993671,126.06000518798828,Upper Devonian Siliciclastics,4.0
-687859.4980793303,4533296.1518702945,115.65025329589844,Upper Devonian Siliciclastics,4.0
-687775.640796406,4533264.577254703,116.0840072631836,Upper Devonian Siliciclastics,4.0
-687697.6820971589,4533201.947858956,107.33600616455078,Upper Devonian Siliciclastics,4.0
-687619.7233979118,4533139.318463209,105.69300842285156,Upper Devonian Siliciclastics,4.0
-687521.9621864315,4533145.831721567,106.46800231933594,Upper Devonian Siliciclastics,4.0
-687422.6684721762,4533157.695882278,104.8320083618164,Upper Devonian Siliciclastics,4.0
-687322.9031198216,4533163.2866275385,104.61400604248047,Upper Devonian Siliciclastics,4.0
-687222.9510970386,4533165.85101112,104.64000701904297,Upper Devonian Siliciclastics,4.0
-687122.9935423558,4533162.937720565,114.87300109863281,Upper Devonian Siliciclastics,4.0
-687023.1007802334,4533163.522613255,123.96400451660156,Upper Devonian Siliciclastics,4.0
-686923.3196657437,4533170.135418348,121.51200866699219,Upper Devonian Siliciclastics,4.0
-686824.1708974089,4533182.151672186,108.73600769042969,Upper Devonian Siliciclastics,4.0
-686725.5060790543,4533198.354987801,108.81200408935547,Upper Devonian Siliciclastics,4.0
-686625.9652490489,4533207.926986644,108.10800170898438,Upper Devonian Siliciclastics,4.0
-686527.3787387183,4533224.110299235,118.14800262451172,Upper Devonian Siliciclastics,4.0
-686429.1943236046,4533243.07923776,148.81201171875,Upper Devonian Siliciclastics,4.0
-686331.0099084907,4533262.048176285,178.9355010986328,Upper Devonian Siliciclastics,4.0
-686231.4790832247,4533268.051211459,173.1920166015625,Upper Devonian Siliciclastics,4.0
-686131.4951341342,4533269.755813993,200.72601318359375,Upper Devonian Siliciclastics,4.0
-686031.6155348789,4533274.661489542,214.86102294921875,Upper Devonian Siliciclastics,4.0
-685931.8299970636,4533272.898733421,215.6090087890625,Upper Devonian Siliciclastics,4.0
-685832.1285012153,4533265.177870412,209.77452087402344,Upper Devonian Siliciclastics,4.0
-693367.6374108358,4542831.599048726,185.916015625,Upper Devonian Siliciclastics,4.0
-693288.5348864767,4542887.2285670405,162.5360107421875,Upper Devonian Siliciclastics,4.0
-693223.4995489739,4542958.607280243,163.38800048828125,Upper Devonian Siliciclastics,4.0
-693166.7672390903,4543032.272745816,181.635009765625,Upper Devonian Siliciclastics,4.0
-693073.0936534829,4543067.276450755,218.8560028076172,Upper Devonian Siliciclastics,4.0
-692979.4200678754,4543102.280155694,238.23001098632812,Upper Devonian Siliciclastics,4.0
-692885.746482268,4543137.283860632,218.19601440429688,Upper Devonian Siliciclastics,4.0
-692792.0728966605,4543172.287565571,208.40000915527344,Upper Devonian Siliciclastics,4.0
-692698.399311053,4543207.29127051,208.73800659179688,Upper Devonian Siliciclastics,4.0
-692604.7257254455,4543242.294975449,218.77200317382812,Upper Devonian Siliciclastics,4.0
-692511.0521398381,4543277.298680388,209.57200622558594,Upper Devonian Siliciclastics,4.0
-692416.2056165481,4543308.978435479,201.4510040283203,Upper Devonian Siliciclastics,4.0
-692321.309045245,4543340.51636114,232.38201904296875,Upper Devonian Siliciclastics,4.0
-692226.412473942,4543372.054286799,222.55201721191406,Upper Devonian Siliciclastics,4.0
-692131.5159026389,4543403.592212459,218.64102172851562,Upper Devonian Siliciclastics,4.0
-692036.1395921959,4543433.560505555,191.00401306152344,Upper Devonian Siliciclastics,4.0
-691939.8264159937,4543460.46351821,215.22801208496094,Upper Devonian Siliciclastics,4.0
-691843.5132397916,4543487.366530864,268.7400207519531,Upper Devonian Siliciclastics,4.0
-691747.2000635895,4543514.269543517,264.7400207519531,Upper Devonian Siliciclastics,4.0
-691650.8868873874,4543541.172556171,248.43275451660156,Upper Devonian Siliciclastics,4.0
-691554.5737111853,4543568.075568825,252.1070098876953,Upper Devonian Siliciclastics,4.0
-691458.260534983,4543594.978581479,249.20901489257812,Upper Devonian Siliciclastics,4.0
-691361.9473587809,4543621.881594133,217.98001098632812,Upper Devonian Siliciclastics,4.0
-691265.6341825788,4543648.784606786,226.77601623535156,Upper Devonian Siliciclastics,4.0
-691169.3210063766,4543675.68761944,221.17901611328125,Upper Devonian Siliciclastics,4.0
-691073.1622700727,4543703.101987783,236.416015625,Upper Devonian Siliciclastics,4.0
-690978.05889612,4543734.010696311,231.6840057373047,Upper Devonian Siliciclastics,4.0
-690882.9555221674,4543764.919404838,247.8620147705078,Upper Devonian Siliciclastics,4.0
-690787.8521482147,4543795.828113365,266.1460266113281,Upper Devonian Siliciclastics,4.0
-690692.7487742621,4543826.736821893,271.52801513671875,Upper Devonian Siliciclastics,4.0
-690597.6454003095,4543857.645530419,258.58001708984375,Upper Devonian Siliciclastics,4.0
-690502.5420263568,4543888.554238947,250.364013671875,Upper Devonian Siliciclastics,4.0
-690407.0629366981,4543918.280033736,244.1680145263672,Upper Devonian Siliciclastics,4.0
-690311.554441888,4543947.913248531,244.18801879882812,Upper Devonian Siliciclastics,4.0
-690215.8483507442,4543976.889064139,255.06800842285156,Upper Devonian Siliciclastics,4.0
-690119.8293431044,4544004.823812605,255.31076049804688,Upper Devonian Siliciclastics,4.0
-690023.8103354645,4544032.758561071,267.9800109863281,Upper Devonian Siliciclastics,4.0
-698521.4576584056,4528813.1998717785,273.4410095214844,Upper Carboniferous Volcanics,1.0
-698615.1257673998,4528848.203808429,277.8600158691406,Upper Carboniferous Volcanics,1.0
-698710.8445747762,4528877.109542212,282.31201171875,Upper Carboniferous Volcanics,1.0
-698807.7347034967,4528901.767425741,289.1360168457031,Upper Carboniferous Volcanics,1.0
-698873.0020546804,4528970.781921719,297.7560119628906,Upper Carboniferous Volcanics,1.0
-698792.7238275623,4529004.92548881,298.6400146484375,Upper Carboniferous Volcanics,1.0
-698693.2303308437,4529014.805556773,302.9320068359375,Upper Carboniferous Volcanics,1.0
-698593.5773182621,4529022.63937969,299.73602294921875,Upper Carboniferous Volcanics,1.0
-698493.8337437495,4529028.307634796,292.176025390625,Upper Carboniferous Volcanics,1.0
-698394.8653214775,4529042.331815877,286.489013671875,Upper Carboniferous Volcanics,1.0
-698295.5691256692,4529053.69238436,276.2929992675781,Upper Carboniferous Volcanics,1.0
-698196.6183908525,4529067.8631827645,276.02899169921875,Upper Carboniferous Volcanics,1.0
-698096.871373593,4529074.214476763,281.32000732421875,Upper Carboniferous Volcanics,1.0
-697996.9969960994,4529078.0055869995,284.2970275878906,Upper Carboniferous Volcanics,1.0
-697898.4089839985,4529094.390210109,287.70001220703125,Upper Carboniferous Volcanics,1.0
-697868.0783712281,4529099.147277293,288.1280212402344,Upper Carboniferous Volcanics,1.0
-697776.9123139277,4529140.24168076,289.9440002441406,Upper Carboniferous Volcanics,1.0
-697685.7462566271,4529181.336084226,292.9320068359375,Upper Carboniferous Volcanics,1.0
-697592.9497730247,4529218.581538494,299.0880126953125,Upper Carboniferous Volcanics,1.0
-697499.3576534875,4529253.802486246,302.5,Upper Carboniferous Volcanics,1.0
-697408.7432205258,4529296.05886977,304.53826904296875,Upper Carboniferous Volcanics,1.0
-697317.2650215409,4529336.423855007,297.34002685546875,Upper Carboniferous Volcanics,1.0
-697224.7151941853,4529374.254896531,293.7320251464844,Upper Carboniferous Volcanics,1.0
-697131.4630705569,4529410.366410467,289.39801025390625,Upper Carboniferous Volcanics,1.0
-697039.8045632032,4529450.285833979,282.13201904296875,Upper Carboniferous Volcanics,1.0
-696948.6284165949,4529491.357847438,277.947998046875,Upper Carboniferous Volcanics,1.0
-696863.5823128138,4529543.92376885,272.54852294921875,Upper Carboniferous Volcanics,1.0
-696781.4612637458,4529600.743486895,270.6920166015625,Upper Carboniferous Volcanics,1.0
-696702.1801841016,4529661.604429992,269.7120056152344,Upper Carboniferous Volcanics,1.0
-696615.1797306014,4529710.908801915,266.6090087890625,Upper Carboniferous Volcanics,1.0
-696528.1792771012,4529760.213173838,263.5500183105469,Upper Carboniferous Volcanics,1.0
-696441.5149830389,4529810.098924012,261.1240234375,Upper Carboniferous Volcanics,1.0
-696356.510754197,4529862.515636954,263.17999267578125,Upper Carboniferous Volcanics,1.0
-696268.6346845396,4529909.728805317,258.5880126953125,Upper Carboniferous Volcanics,1.0
-696179.5244097457,4529955.1032450255,254.1680145263672,Upper Carboniferous Volcanics,1.0
-696091.2583561589,4530002.104349099,253.2335205078125,Upper Carboniferous Volcanics,1.0
-696002.4413768132,4530048.027581398,251.0480194091797,Upper Carboniferous Volcanics,1.0
-695912.828265939,4530092.388353629,249.42401123046875,Upper Carboniferous Volcanics,1.0
-695826.6946728125,4530142.950003756,250.64102172851562,Upper Carboniferous Volcanics,1.0
-695734.1707353671,4530180.187256174,254.7840118408203,Upper Carboniferous Volcanics,1.0
-695640.5690045318,4530215.382653383,250.39601135253906,Upper Carboniferous Volcanics,1.0
-695547.3607201525,4530251.588113012,250.07801818847656,Upper Carboniferous Volcanics,1.0
-695454.6146550896,4530288.980189918,248.4560089111328,Upper Carboniferous Volcanics,1.0
-695361.5619999234,4530325.591990248,241.18801879882812,Upper Carboniferous Volcanics,1.0
-695268.1693338553,4530361.338457552,237.0600128173828,Upper Carboniferous Volcanics,1.0
-695175.4229276575,4530398.709191109,238.57200622558594,Upper Carboniferous Volcanics,1.0
-695082.6826750546,4530436.087800484,233.27801513671875,Upper Carboniferous Volcanics,1.0
-694989.0605867686,4530471.229009697,232.04800415039062,Upper Carboniferous Volcanics,1.0
-694894.5779992841,4530503.782277487,231.9840087890625,Upper Carboniferous Volcanics,1.0
-694798.5537787608,4530531.699101678,223.57101440429688,Upper Carboniferous Volcanics,1.0
