X,Y,Z,formation_id,formation
-691980.0154,4543461.256,198.17201,40,Upper Devonian Siliciclastics
-690552.0793,4532841.007,161.70801,40,Upper Devonian Siliciclastics
-687747.0735,4533241.628,117.824005,40,Upper Devonian Siliciclastics
-704449.2663,4530437.708,357.99902,67,Visean Shales
-697313.0973,4530973.659,304.63202,67,Visean Shales
-699759.6756,4530704.723,416.212,67,Visean Shales
-683954.2147,4547973.498,383.03802,1,Tournaisian Plutonites
-683986.3606,4529297.965,293.588,1,Tournaisian Plutonites
-693960.3446,4532027.301,252.16402,1,Tournaisian Plutonites
-700077.2211,4544308.012,295.30103,1,Tournaisian Plutonites
-678933.0669,4538454.459,300.5,1,Tournaisian Plutonites
-703848.8778,4537799.106,330.984,51,Upper Carboniferous Volcanics
-694833.3878,4531125.784,229.48901,51,Upper Carboniferous Volcanics
-698792.7946,4530772.191,392.35202,51,Upper Carboniferous Volcanics
-706447.3818,4548781.148,361.96002,51,Upper Carboniferous Volcanics
-700469.227,4545513.144,396.68802,51,Upper Carboniferous Volcanics
-698893.8322,4549231.973,212.33601,51,Upper Carboniferous Volcanics
-707496.7607,4548042.601,408.74802,76,Mid Carboniferous Shales
-705359.028,4548251.517,362.66452,76,Mid Carboniferous Shales
