X,Y,Z,formation,formation_id
-692176.9767862754,4544134.555374589,231.8520050048828,Tournaisian Plutonites,35
-681817.1909312456,4532630.452428996,116.14801025390624,Tournaisian Plutonites,37
-691103.0918575194,4532617.929862275,216.6830139160156,Tournaisian Plutonites,34
-694409.6284121511,4530745.567626831,213.7140045166016,Tournaisian Plutonites,34
-700423.8638430766,4544977.962094902,388.260009765625,Tournaisian Plutonites,35
-695497.3539248914,4536942.93225075,359.0000305175781,Tournaisian Plutonites,34
-707235.9915449006,4540734.654327516,330.29400634765625,Tournaisian Plutonites,34
-687656.8946752443,4529106.997501251,289.8520202636719,Tournaisian Plutonites,34
-683565.6879679309,4533226.44963635,151.1710205078125,Tournaisian Plutonites,37
-689480.9640462447,4530855.986589739,311.6410217285156,Tournaisian Plutonites,34
-690207.6967410675,4549533.052182152,456.6440124511719,Tournaisian Plutonites,35
-700683.3645326459,4545465.877923351,394.2200317382813,Tournaisian Plutonites,35
-677980.8754548834,4543474.099799931,351.1400146484375,Tournaisian Plutonites,35
-679713.9987024327,4549896.784877896,434.3440246582031,Tournaisian Plutonites,35
-683711.597955246,4549758.220041422,333.4000244140625,Tournaisian Plutonites,35
-678063.0325095278,4545972.749478932,480.5080261230469,Tournaisian Plutonites,35
-692143.257072817,4528952.302739205,235.82400512695312,Tournaisian Plutonites,34
-699095.4576406806,4544512.382432783,329.9320068359375,Tournaisian Plutonites,35
-682290.0717272657,4532462.654054168,93.49600219726562,Tournaisian Plutonites,37
-694814.794042993,4530527.289167885,223.57101440429688,Tournaisian Plutonites,34
-678112.3267423143,4547471.939286333,465.60205078125,Tournaisian Plutonites,35
-707449.9032431168,4546729.440595374,418.9800109863281,Tournaisian Plutonites,34
-692915.0863743159,4542286.561532525,205.0810089111328,Tournaisian Plutonites,34
-699566.2092704814,4544616.489384225,330.5800170898437,Tournaisian Plutonites,35
-687447.9181209027,4537913.733169287,313.4520263671875,Tournaisian Plutonites,34
-680235.6536922932,4537521.475579407,288.0360107421875,Tournaisian Plutonites,37
-683211.8980486443,4549775.540645982,334.75201416015625,Tournaisian Plutonites,35
-678128.0431155021,4540660.323429356,270.5240173339844,Tournaisian Plutonites,35
-697203.4954334906,4549290.563718323,188.3077545166016,Tournaisian Plutonites,35
-692252.0560763372,4534349.821635383,342.552001953125,Tournaisian Plutonites,34
-678714.5988892294,4549931.426087015,465.5520324707031,Tournaisian Plutonites,35
-696677.3212003433,4545390.199740269,292.4880065917969,Tournaisian Plutonites,35
-698225.9741539229,4543888.846348026,224.00001525878903,Tournaisian Plutonites,34
-707164.6710225203,4538735.926386278,448.3040161132813,Tournaisian Plutonites,34
-701466.5898506815,4547072.328339609,345.6960144042969,Tournaisian Plutonites,35
-695912.0907350582,4533516.890473021,265.8680114746094,Tournaisian Plutonites,34
-697999.7346641378,4547192.688595221,181.14601135253903,Tournaisian Plutonites,36
-700039.6472144786,4544751.906324943,301.2560119628906,Tournaisian Plutonites,35
-686150.9100673808,4538734.853946439,313.2870178222656,Tournaisian Plutonites,34
-702436.7569513716,4543110.830820557,406.885009765625,Tournaisian Plutonites,34
-690015.6478478793,4537886.134939985,408.72601318359375,Tournaisian Plutonites,34
-687209.4973014576,4549636.975809508,409.009033203125,Tournaisian Plutonites,35
-700879.8092260835,4547376.539270056,273.6289978027344,Tournaisian Plutonites,35
-702209.7785911796,4548367.82870911,340.9200134277344,Tournaisian Plutonites,35
-686926.5240081463,4541186.511783948,336.4280090332031,Tournaisian Plutonites,34
-686714.3419942671,4542590.427956039,352.9280090332031,Tournaisian Plutonites,35
