X,Y,Z,formation
4442168.416,4588349.77,1662.632303,Main_Fault
4442197.301,4588378.354,1652.897594,chromite lense
4442119.952,4588269.618,1570.478115,chromite lense
4442040.148,4588330.364,1604.60299,chromite lense
4442040.498,4588282.275,1588.238306,chromite lense
4442077.512,4588321.441,1602.535666,chromite lense
4441997.531,4588314.601,1585.741814,chromite lense
4441957.531,4588314.355,1595.480955,chromite lense
4442119.343,4588325.697,1586.849816,chromite lense
4441997.531,4588340.687,1610.053207,chromite lense
4441917.0,4588331.544,1608.817574,chromite lense
4442197.301,4588378.936,1654.495072,host_rock
4442119.952,4588269.96,1571.417808,host_rock
4442040.148,4588330.466,1604.884898,host_rock
4442040.498,4588283.335,1591.151353,host_rock
4442077.512,4588321.612,1603.005512,host_rock
4441997.531,4588314.772,1586.21166,host_rock
4441957.531,4588314.423,1595.668894,host_rock
4442119.343,4588326.039,1587.789508,host_rock
4441997.531,4588340.858,1610.523053,host_rock
4441917.0,4588331.612,1609.005512,host_rock
4442197.301,4588378.354,1611.1037797669455,host_rock
4442119.952,4588269.618,1520.6799954669357,host_rock
4442040.148,4588330.364,1571.1166694905558,host_rock
4442040.498,4588282.275,1539.7042598025146,host_rock
4442077.512,4588321.441,1562.4693904568344,host_rock
4441997.531,4588314.601,1545.7652678000873,host_rock
4441957.531,4588314.355,1554.0547059443788,host_rock
4442119.343,4588325.697,1541.6658407771736,host_rock
4441997.531,4588340.687,1578.867003765924,host_rock
4441917.0,4588331.544,1565.3255026838715,host_rock
