X,Y,Z,formation
442089.41655638063,4586411.75722249,1652.897594,chromite lense
442012.09915281367,4586303.065563564,1570.478115,chromite lense
441932.3276944649,4586363.786751178,1604.60299,chromite lense
441932.67756767763,4586315.717372721,1588.238306,chromite lense
441969.67645205837,4586354.86740442,1602.535666,chromite lense
441889.72808843653,4586348.030168643,1585.741814,chromite lense
441849.74440943415,4586347.784255682,1595.480955,chromite lense
442011.4903826159,4586359.121681812,1586.849816,chromite lense
441889.7280797473,4586374.105524953,1610.053207,chromite lense
441809.2299412793,4586364.966228672,1608.817574,chromite lense
442089.41655618645,4586412.3389850175,1654.495072,host_rock
442012.09915269894,4586303.40742402,1571.417808,host_rock
441932.32769443176,4586363.888709558,1604.884898,host_rock
441932.6775673245,4586316.776940215,1591.151353,host_rock
441969.67645200156,4586355.038334647,1603.005512,host_rock
441889.7280883785,4586348.201098869,1586.21166,host_rock
441849.7444094117,4586347.852227937,1595.668894,host_rock
442011.49038250267,4586359.4635422705,1587.789508,host_rock
441889.7280796904,4586374.276455181,1610.523053,host_rock
441809.2299412564,4586365.034200925,1609.005512,host_rock
