X,Y,Z,formation
442060.5433516612,4586383.184875814,1662.63,Main_Fault
442009.34044680616,4586399.304678799,1677.0,host_rock
442009.34044680616,4586399.304678799,1593.75,chromite lense
442012.0990387232,4586345.457959412,1687.0,host_rock
442012.0990387232,4586345.457959412,1563.5,chromite lense
441932.3276852061,4586391.5813057255,1681.0,host_rock
441932.3276852061,4586391.5813057255,1599.85,chromite lense
441932.6779555389,4586351.6486059595,1687.0,host_rock
441932.6779555389,4586351.6486059595,1583.45,chromite lense
441969.6765425063,4586383.414751682,1681.0,host_rock
441969.6765425063,4586383.414751682,1597.75,chromite lense
441889.72837302636,4586393.910440793,1683.0,host_rock
441889.728376523,4586383.414725036,1683.0,host_rock
441849.7446985805,4586379.988910084,1684.0,host_rock
441849.7446985805,4586379.988910084,1589.9,chromite lense
442011.49047152686,4586392.283745391,1678.0,host_rock
442011.49047152686,4586392.283745391,1581.5,chromite lense
441931.56449561124,4586394.94533231,1681.0,host_rock
441931.56449561124,4586394.94533231,1607.6,chromite lense
441889.72837102634,4586399.917488776,1681.0,host_rock
442089.41665426723,4586417.979682541,1670.0,host_rock
442089.41665426723,4586417.979682541,1652.65,chromite lense
