sample,lithology,sus_1e5_SI,sus_SI
1,harzburgite,100.7,0.001007
2,harzburgite,112.0,0.00112
3,serpentinite,52.83,0.0005283
4,pyroxenite,41.75,0.0004175
5,pyroxenite,6.753,6.753e-05
6,pyroxenite,23.3,0.000233
7,pyroxenite,41.1,0.000411
8,pyroxenite,130.4,0.001304
9,,46.87,0.00046869999999999995
10,,152.5,0.001525
11,harzburgite,157.1,0.001571
12,pyroxenite,86.58,0.0008658
13,pyroxenite,51.13,0.0005113
14,pyroxenite,33.71,0.0003371
16,pyroxenite,127.4,0.001274
17,pyroxenite,89.92,0.0008992000000000001
18,granite?,28.089999999999996,0.00028089999999999994
19,pyroxenite,736.0,0.00736
20,pyroxenite,213.6,0.002136
21,chromite+serpentinite,88.14,0.0008814
22,serpentinite,53.29,0.0005329
23,pyroxenite,43.089999999999996,0.00043089999999999996
24,pyroxenite,120.7,0.001207
25,pyroxenite,69.17999999999999,0.0006917999999999999
26,chromite+serpentinite,86.7,0.000867
27,,54.0,0.00054
28,pyroxenite,27.74,0.00027739999999999997
30,pyroxenite,39.78,0.0003978
31,pyroxenite,45.239999999999995,0.00045239999999999994
32,harzburgite,115.1,0.001151
33,serpentinite,115.4,0.001154
34,serpentinite+chromite,128.6,0.001286
35,harzburgite,200.001,0.00200001
36,serpentinite,16.330000000000002,0.0001633
37,serpentinite+chromite,88.61,0.0008861
38,harzburgite,209.9,0.002099
Thorkild-A,chromite,58.1,0.000581
Thorkild-B,harzburgite,49.93,0.0004993
Thorkild-C,chromite,272.4,0.002724
Thorkild-D,chromite,142.8,0.001428
Thorkild-E,chromite,132.9,0.001329
