X,Y,Z,formation
4442197.301,4588378.354,1652.897594,chromite lense
4442119.952,4588269.618,1570.478115,chromite lense
4442040.148,4588330.364,1604.60299,chromite lense
4442040.498,4588282.275,1588.238306,chromite lense
4442077.512,4588321.441,1602.535666,chromite lense
4441997.531,4588314.601,1585.741814,chromite lense
4441957.531,4588314.355,1595.480955,chromite lense
4442119.343,4588325.697,1586.849816,chromite lense
4441997.531,4588340.687,1610.053207,chromite lense
4441917.0,4588331.544,1608.817574,chromite lense
4442197.301,4588378.936,1654.495072,overlying lithology
4442119.952,4588269.96,1571.417808,overlying lithology
4442040.148,4588330.466,1604.884898,overlying lithology
4442040.498,4588283.335,1591.151353,overlying lithology
4442077.512,4588321.612,1603.005512,overlying lithology
4441997.531,4588314.772,1586.21166,overlying lithology
4441957.531,4588314.423,1595.668894,overlying lithology
4442119.343,4588326.039,1587.789508,overlying lithology
4441997.531,4588340.858,1610.523053,overlying lithology
4441917.0,4588331.612,1609.005512,overlying lithology
