X,Y,Z,azimuth,dip,polarity,formation
4442168.416,4588349.77,1662.632303,253.16,68.33,-1,Main_Fault
4442273.707,4588384.224,1626.862408,90.0,19.86,-1,host_rock
4442181.781,4588384.344,1660.261919,90.0,19.92,-1,host_rock
4442216.45,4588517.345,1647.655923,90.0,20.0,-1,host_rock
4441903.741,4588419.91,1650.377786,180.0,25.37,-1,host_rock
4441902.257,4588252.534,1570.705817,180.0,25.26,-1,host_rock
4442154.022,4588251.602,1563.384318,180.0,22.04,-1,host_rock
4442135.756,4588412.092,1630.522648,180.0,24.79,-1,host_rock
4442183.179,4588377.248,1656.82763,90.0,19.75,-1,chromite lense
4442266.647,4588380.344,1626.429661,90.0,20.03,-1,chromite lense
4442188.865,4588535.677,1654.727366,90.0,20.0,-1,chromite lense
4441903.741,4588418.334,1647.029478,180.0,25.0,-1,chromite lense
4441903.741,4588252.436,1572.094163,180.0,32.46,-1,chromite lense
4442154.44,4588250.345,1558.442369,180.0,21.16,-1,chromite lense
4442131.792,4588414.366,1625.888236,180.0,26.94,-1,chromite lense
4442047.192,4588250.985,1571.942285,180.78,21.85,-1,chromite lense
4442183.179,4588377.248,1656.82763,90.0,19.75,-1,host_rock
4442266.647,4588380.344,1626.429661,90.0,20.03,-1,host_rock
4442188.865,4588535.677,1654.727366,90.0,20.0,-1,host_rock
4441903.741,4588418.334,1647.029478,180.0,25.0,-1,host_rock
4441903.741,4588252.436,1572.094163,180.0,32.46,-1,host_rock
4442154.44,4588250.345,1558.442369,180.0,21.16,-1,host_rock
4442131.792,4588414.366,1625.888236,180.0,26.94,-1,host_rock
4442047.192,4588250.985,1571.942285,180.78,21.85,-1,host_rock
