X,Y,Z,azimuth,dip,polarity,formation,formation_id
-705647.0544590125,4548915.11316496,348.64801025390625,225,38,1,Visean Shales,2
-704632.8236239535,4547602.427797007,471.5310363769531,197,20,1,Famennian Siliciclastics,4
-704694.5728376559,4546902.603375047,458.6440124511719,200,50,1,Famennian Siliciclastics,4
-697408.1656207838,4544710.506288617,356.4120178222656,15,65,1,Famennian Siliciclastics,4
-695901.4848064472,4543691.644262527,235.5600128173828,5,40,1,Famennian Siliciclastics,4
-695069.9287285891,4544366.768999008,214.7040100097656,343,50,1,Famennian Siliciclastics,4
-694398.9206063573,4544566.42478998,286.8000183105469,15,50,1,Famennian Siliciclastics,4
-697607.8214117539,4533626.522429052,270.3000183105469,3,60,1,Famennian Siliciclastics,4
-696185.5311894775,4533546.248451239,269.3330078125,185,40,1,Famennian Siliciclastics,4
-695500.114917382,4533054.313048745,262.4727783203125,10,75,1,Famennian Siliciclastics,4
-687610.6237133505,4532930.8146213405,137.28001403808594,2,22,1,Famennian Siliciclastics,4
-681826.780696568,4529940.094371027,226.09600830078125,253,32,1,Famennian Siliciclastics,4
-681289.5625373578,4530403.213473794,85.94800567626953,347,40,1,Famennian Siliciclastics,4
-681170.1807241999,4529396.701290446,149.3560028076172,246,70,1,Famennian Siliciclastics,4
-680830.5600488372,4529952.444213768,213.9960174560547,359,45,1,Famennian Siliciclastics,4
-680237.767597295,4529781.604722525,146.95651245117188,345,55,1,Famennian Siliciclastics,4
-679544.1180967056,4529903.044842806,137.44801330566406,359,70,1,Famennian Siliciclastics,4
-678932.8008810529,4530302.356424746,132.35800170898438,345,40,1,Famennian Siliciclastics,4
-678002.4460612715,4529903.044842804,126.69200897216795,22,60,1,Famennian Siliciclastics,4
-702868.3398424091,4530662.045594561,373.0520324707031,353,74,1,Mid Devonian Siliciclastics,3
