X,Y,Z,azimuth,dip,polarity,formation,formation_id
-700077.221124427,4544308.012125215,296.2340087890625,126.9789146868716,70,1,Tournaisian Plutonites,34
-692252.3429197179,4541537.757039512,205.06301879882807,227.7457717006481,70,1,Tournaisian Plutonites,34
-686061.8610413239,4537917.607865374,331.156005859375,344.6989976005131,70,1,Tournaisian Plutonites,34
-694501.5414430094,4537807.50062136,349.3970031738281,323.06413783315537,70,1,Tournaisian Plutonites,34
-690683.7223875191,4532904.797206258,178.3412628173828,185.65975077090047,70,1,Tournaisian Plutonites,34
-698155.2304763561,4533699.437164071,283.0840148925781,215.00243063981375,70,1,Tournaisian Plutonites,34
-689039.7447237693,4530628.182367805,314.2670288085937,205.9111442270588,70,1,Tournaisian Plutonites,34
-688156.5977032685,4529089.767185426,282.1280212402344,358.0251602502821,70,1,Tournaisian Plutonites,34
-696987.013494611,4529472.704213114,278.7640075683594,156.38763718376916,70,1,Tournaisian Plutonites,34
-700925.5797978531,4530655.743602405,354.96099853515625,363.9094724190365,70,1,Tournaisian Plutonites,34
-707057.8404896816,4535742.045188619,377.7620239257813,447.9563842525408,70,1,Tournaisian Plutonites,34
-707414.2429819265,4545730.076624755,485.9390258789063,447.95638425254174,70,1,Tournaisian Plutonites,34
-704851.5241172401,4545865.611570748,451.0920104980469,349.48485003276807,70,1,Tournaisian Plutonites,34
-701278.8291807076,4543049.915566436,391.3370056152344,118.70439811402277,70,1,Tournaisian Plutonites,34
-689707.9968344658,4549550.372786712,464.3680114746094,178.01480774232516,70,1,Tournaisian Plutonites,35
-679713.9987024327,4549896.784877896,434.3440246582031,178.0148077423273,70,1,Tournaisian Plutonites,35
-677915.149811168,4541475.18005673,294.80401611328125,268.11675992864264,70,1,Tournaisian Plutonites,35
-685282.4330924522,4542459.668858269,295.2230224609375,374.2936570666725,70,1,Tournaisian Plutonites,35
-692478.3617051403,4545531.476675657,410.1120300292969,357.1804821139305,70,1,Tournaisian Plutonites,35
-700423.8638430766,4544977.962094902,388.260009765625,420.5870822083911,70,1,Tournaisian Plutonites,35
-701396.9698360295,4548555.962168786,362.7480163574219,154.3624841148038,70,1,Tournaisian Plutonites,35
-697517.2219682402,4547064.502673468,188.9232482910156,203.06878940527704,70,1,Tournaisian Plutonites,36
-686104.9303805014,4532807.93185239,165.74400329589844,124.96467543617943,70,1,Tournaisian Plutonites,37
-681146.0653529417,4536409.004196407,299.7152709960937,128.06407683012793,70,1,Tournaisian Plutonites,37
-677670.0983327882,4534022.408040451,280.0599975585937,268.1167599286373,70,1,Tournaisian Plutonites,37
-683703.6133673872,4549255.10958874,325.8000183105469,386.8526551909239,70,1,Tournaisian Plutonites,38
