X,Y,Z,formation,formation_id
-707498.2934220379,4548085.5552095575,423.0550231933594,Visean Shales,2.0
-707318.0925418242,4548172.215334624,429.0340270996094,Visean Shales,2.0
-707124.1484318812,4548209.594355589,424.1260070800781,Visean Shales,2.0
-706925.2499254089,4548193.106749329,409.4240112304688,Visean Shales,2.0
-706734.0115202738,4548135.494574036,406.4120178222656,Visean Shales,2.0
-706542.1559312582,4548099.074557018,395.96002197265625,Visean Shales,2.0
-706613.9485451069,4548285.74490977,394.3597717285156,Visean Shales,2.0
-706685.7411589555,4548472.415262523,370.52001953125,Visean Shales,2.0
-706857.3951961732,4548528.021537608,348.0890197753906,Visean Shales,2.0
-707056.6750423302,4548520.773428155,393.3080139160156,Visean Shales,2.0
-707256.5755114811,4548520.993137396,410.6360168457031,Visean Shales,2.0
-707455.7676414412,4548535.99855131,362.4240112304688,Visean Shales,2.0
-706458.8514688772,4548870.131829793,340.3240051269531,Visean Shales,2.0
-706340.2261276869,4548761.320091757,384.405029296875,Visean Shales,2.0
-706145.0520417626,4548718.893503337,406.6480102539063,Visean Shales,2.0
-705948.3864481137,4548688.280262647,359.3800048828125,Visean Shales,2.0
-705836.9684686455,4548760.851779892,334.989990234375,Visean Shales,2.0
-705691.2183707595,4548627.684210884,354.8680114746094,Visean Shales,2.0
-705500.5483320509,4548571.165625672,349.70001220703125,Visean Shales,2.0
-705399.8217782998,4548436.6206018105,352.6800231933594,Visean Shales,2.0
-705356.1208546174,4548241.453418941,367.4280090332031,Visean Shales,2.0
-705256.6647803998,4548111.754067582,359.5320129394531,Visean Shales,2.0
-705057.4402640735,4548094.650848039,370.7400207519531,Visean Shales,2.0
-704857.9716554475,4548082.904215863,397.5670166015625,Visean Shales,2.0
-704657.998065947,4548079.654269988,428.93603515625,Visean Shales,2.0
-704458.0225098266,4548076.527457815,448.0600280761719,Visean Shales,2.0
-704258.0550090752,4548075.356692547,446.7040100097656,Visean Shales,2.0
-690419.475616398,4532881.232816335,155.55226135253906,Famennian Siliciclastics,4.0
-690220.3566542218,4532862.480779062,156.2670135498047,Famennian Siliciclastics,4.0
-690021.2376920456,4532843.72874179,165.54299926757812,Famennian Siliciclastics,4.0
-689822.1187298694,4532824.976704517,186.0650177001953,Famennian Siliciclastics,4.0
-689622.9997676931,4532806.2246672455,171.64401245117188,Famennian Siliciclastics,4.0
-689423.880805517,4532787.472629973,162.41000366210938,Famennian Siliciclastics,4.0
-689224.7618433407,4532768.720592701,155.5,Famennian Siliciclastics,4.0
-689025.6428811644,4532749.968555428,161.66400146484375,Famennian Siliciclastics,4.0
-688846.7096424057,4532824.00828686,155.5,Famennian Siliciclastics,4.0
-688673.3747665852,4532923.78313752,155.5,Famennian Siliciclastics,4.0
-688489.6232303488,4532999.069579096,176.9080047607422,Famennian Siliciclastics,4.0
-688303.62859853,4533069.459055111,171.09100341796875,Famennian Siliciclastics,4.0
-688128.4788695265,4533166.012524391,138.74301147460938,Famennian Siliciclastics,4.0
-687953.3291405232,4533262.565993671,126.06000518798828,Famennian Siliciclastics,4.0
-687775.640796406,4533264.577254703,116.0840072631836,Famennian Siliciclastics,4.0
-687619.7233979118,4533139.318463209,105.69300842285156,Famennian Siliciclastics,4.0
-687422.6684721762,4533157.695882278,104.8320083618164,Famennian Siliciclastics,4.0
-687222.9510970386,4533165.85101112,104.64000701904295,Famennian Siliciclastics,4.0
-687023.1007802334,4533163.522613255,123.96400451660156,Famennian Siliciclastics,4.0
-686824.1708974089,4533182.151672186,108.73600769042967,Famennian Siliciclastics,4.0
-686625.9652490489,4533207.926986644,108.10800170898438,Famennian Siliciclastics,4.0
-686429.1943236046,4533243.07923776,148.81201171875,Famennian Siliciclastics,4.0
-686231.4790832247,4533268.051211459,173.1920166015625,Famennian Siliciclastics,4.0
-686031.6155348789,4533274.661489542,214.86102294921875,Famennian Siliciclastics,4.0
-685832.1285012153,4533265.177870412,209.77452087402344,Famennian Siliciclastics,4.0
-693288.5348864767,4542887.2285670405,162.5360107421875,Famennian Siliciclastics,4.0
-693166.7672390903,4543032.272745816,181.635009765625,Famennian Siliciclastics,4.0
-692979.4200678754,4543102.280155694,238.23001098632807,Famennian Siliciclastics,4.0
-692792.0728966605,4543172.287565571,208.40000915527344,Famennian Siliciclastics,4.0
-692604.7257254455,4543242.294975449,218.77200317382807,Famennian Siliciclastics,4.0
-692416.2056165481,4543308.978435479,201.4510040283203,Famennian Siliciclastics,4.0
-692226.412473942,4543372.054286799,222.5520172119141,Famennian Siliciclastics,4.0
-692036.1395921959,4543433.560505555,191.00401306152344,Famennian Siliciclastics,4.0
