X,Y,Z,formation,formation_id
-700077.221124427,4544308.012125215,296.2340087890625,Tournaisian Plutonites,34
-699156.6951232146,4544191.40511591,298.3080139160156,Tournaisian Plutonites,34
-698225.9741539229,4543888.846348026,224.00001525878903,Tournaisian Plutonites,34
-697256.892613768,4543672.132782771,209.34800720214844,Tournaisian Plutonites,34
-696292.961546655,4543439.50272456,160.26901245117188,Tournaisian Plutonites,34
-695308.1705801666,4543343.0676730685,208.14801025390625,Tournaisian Plutonites,34
-694357.5768928316,4543357.482692095,166.04000854492188,Tournaisian Plutonites,34
-694098.1638597153,4542813.242128895,155.5,Tournaisian Plutonites,34
-693550.5932265038,4542752.292087174,161.37200927734375,Tournaisian Plutonites,34
-692915.0863743159,4542286.561532525,205.0810089111328,Tournaisian Plutonites,34
-692252.3429197179,4541537.757039512,205.06301879882807,Tournaisian Plutonites,34
-691463.3597755982,4541338.152992316,248.697021484375,Tournaisian Plutonites,34
-690481.6483809084,4541207.803466511,313.90899658203125,Tournaisian Plutonites,34
-689623.0553989396,4540756.217961358,291.0680236816406,Tournaisian Plutonites,34
-688696.7052161986,4540573.8371848455,291.4280090332031,Tournaisian Plutonites,34
-687784.6024065926,4540736.08036558,334.49200439453125,Tournaisian Plutonites,34
-686926.5240081463,4541186.511783948,336.4280090332031,Tournaisian Plutonites,34
-686488.0021728468,4540531.988794015,359.9280090332031,Tournaisian Plutonites,34
-686550.2094557186,4539580.882753449,389.81201171875,Tournaisian Plutonites,34
-686150.9100673808,4538734.853946439,313.2870178222656,Tournaisian Plutonites,34
-686061.8610413239,4537917.607865374,331.156005859375,Tournaisian Plutonites,34
-686999.236315255,4537719.546762675,300.8320007324219,Tournaisian Plutonites,34
-687922.4767860847,4537855.7797077065,295.54901123046875,Tournaisian Plutonites,34
-688818.0050075998,4538109.907666667,356.1280212402344,Tournaisian Plutonites,34
-689717.0133541075,4538278.557327269,346.3280029296875,Tournaisian Plutonites,34
-690224.8356714648,4537468.550188446,277.4040222167969,Tournaisian Plutonites,34
-690990.1568324567,4537366.63993468,155.5,Tournaisian Plutonites,34
-691736.5729349786,4538006.197786346,215.2490081787109,Tournaisian Plutonites,34
-692682.7089757678,4538113.422856294,312.7920227050781,Tournaisian Plutonites,34
-693589.2566160964,4538179.976969789,367.3480224609375,Tournaisian Plutonites,34
-694501.5414430094,4537807.50062136,349.3970031738281,Tournaisian Plutonites,34
-695286.6127115485,4537392.019447259,327.7480163574219,Tournaisian Plutonites,34
-695739.9495311847,4536523.456533946,316.64801025390625,Tournaisian Plutonites,34
-694995.4175917525,4536051.523607144,314.541015625,Tournaisian Plutonites,34
-694312.3481908245,4535409.41968663,322.3760070800781,Tournaisian Plutonites,34
-693674.9542236519,4535183.666054386,277.78399658203125,Tournaisian Plutonites,34
-692858.4970297775,4535144.797112289,287.52001953125,Tournaisian Plutonites,34
-692252.0560763372,4534349.821635383,342.552001953125,Tournaisian Plutonites,34
-691595.1622428576,4533834.160992575,323.9040222167969,Tournaisian Plutonites,34
-691141.2814600174,4533326.484081992,315.176025390625,Tournaisian Plutonites,34
-690683.7223875191,4532904.797206258,178.3412628173828,Tournaisian Plutonites,34
-691103.0918575194,4532617.929862275,216.6830139160156,Tournaisian Plutonites,34
-692011.1569429461,4532238.238886749,282.6990051269531,Tournaisian Plutonites,34
