X,Y,Z,formation,formation_id
-681808.2956256447,4532836.547517677,155.44547,Tournaisian Plutonites,34
-681916.1595038438,4533324.279975489,178.81873,Tournaisian Plutonites,34
-682120.166260788,4533759.018341879,254.36737,Tournaisian Plutonites,34
-682313.9925236208,4534192.75042901,252.39221,Tournaisian Plutonites,34
-682232.2884822724,4534683.221032276,225.99371,Tournaisian Plutonites,34
-682230.1268280911,4535166.828633725,246.30695,Tournaisian Plutonites,34
-681914.3788084441,4535524.152114956,272.74066,Tournaisian Plutonites,34
-681581.7246979426,4535897.436514263,289.99158,Tournaisian Plutonites,34
-681252.2637226551,4536273.389371424,304.29324,Tournaisian Plutonites,34
-680943.9925410205,4536667.05023889,305.15018,Tournaisian Plutonites,34
-680634.9363659075,4537060.0798908565,291.7761,Tournaisian Plutonites,34
-680316.6169156305,4537445.66091681,288.3944,Tournaisian Plutonites,34
-679984.982416474,4537430.699948565,289.20676,Tournaisian Plutonites,34
-679687.7491560185,4537797.619074119,299.34436,Tournaisian Plutonites,34
-679317.792643883,4538113.154267106,294.68558,Tournaisian Plutonites,34
-679008.4831138245,4538445.2406121995,297.30426,Tournaisian Plutonites,34
-678652.8593214273,4538733.651312679,280.07236,Tournaisian Plutonites,34
-678367.6067607914,4539087.617740538,268.95956,Tournaisian Plutonites,34
-677891.9911932799,4539132.61224781,270.1696,Tournaisian Plutonites,34
-677823.4168834537,4538685.298513633,294.13882,Tournaisian Plutonites,34
-677806.9854725249,4538185.5685778335,309.39758,Tournaisian Plutonites,34
-677790.554061596,4537685.838642033,314.94345,Tournaisian Plutonites,34
-677774.1226506672,4537186.108706232,331.49652,Tournaisian Plutonites,34
-677757.6912397384,4536686.378770432,349.46045,Tournaisian Plutonites,34
-677741.2598288095,4536186.648834632,342.57,Tournaisian Plutonites,34
-677724.8284178807,4535686.918898832,316.9328,Tournaisian Plutonites,34
-677708.3970069519,4535187.188963031,305.9994,Tournaisian Plutonites,34
-677691.965596023,4534687.459027232,281.0648,Tournaisian Plutonites,34
