X,Y,Z,formation,formation_id,id
-695497.3539248914,4536942.93225075,359.0000305175781,Tournaisian Plutonites,34,0
-702400.4659044973,4530731.974753828,344.26202392578125,Tournaisian Plutonites,34,1
-699936.1230403082,4530731.203214241,413.5880126953125,Tournaisian Plutonites,34,2
-697492.2616438272,4530968.76006819,322.5760192871094,Tournaisian Plutonites,34,3
-695999.907679173,4531026.963541583,264.4540100097656,Tournaisian Plutonites,34,4
-694517.2867797555,4531074.369016591,217.74400329589844,Tournaisian Plutonites,34,5
-693453.201404913,4532127.764162253,244.156005859375,Tournaisian Plutonites,34,6
-694037.8889701224,4535261.281814026,276.6840209960937,Tournaisian Plutonites,34,7
-691179.5057086962,4532968.258193975,259.6910095214844,Tournaisian Plutonites,34,8
-691595.1622428576,4533834.160992575,323.9040222167969,Tournaisian Plutonites,34,9
-686999.236315255,4537719.546762675,300.8320007324219,Tournaisian Plutonites,34,10
-688818.0050075998,4538109.907666667,356.1280212402344,Tournaisian Plutonites,34,11
-692682.7089757678,4538113.422856294,312.7920227050781,Tournaisian Plutonites,34,12
-693589.2566160964,4538179.976969789,367.3480224609375,Tournaisian Plutonites,34,13
-692585.52544473,4541910.543456244,249.52801513671875,Tournaisian Plutonites,34,14
-695308.1705801666,4543343.0676730685,208.14801025390625,Tournaisian Plutonites,34,15
-700077.221124427,4544308.012125215,296.2340087890625,Tournaisian Plutonites,34,16
-704176.277097028,4546603.008768216,479.5400085449219,Tournaisian Plutonites,34,17
-704001.4706798763,4545506.985555548,410.4520263671875,Tournaisian Plutonites,34,18
