X,Y,Z,azimuth,dip,polarity,formation,formation_id
-704632.8236239535,4547602.427797007,471.5310363769531,197,20,1,Upper Devonian Siliciclastics,4
-704546.3747247703,4547240.165743287,507.6880187988281,196,30,1,Upper Devonian Siliciclastics,4
-704694.5728376559,4546902.603375047,458.6440124511719,200,50,1,Upper Devonian Siliciclastics,4
-700310.378664792,4545334.17334701,346.14300537109375,207,37,1,Upper Devonian Siliciclastics,4
-697408.1656207838,4544710.506288617,356.4120178222656,15,65,1,Upper Devonian Siliciclastics,4
-697099.4195522718,4543928.34958172,271.1240234375,12,55,1,Upper Devonian Siliciclastics,4
-695901.4848064472,4543691.644262527,235.5600128173828,5,40,1,Upper Devonian Siliciclastics,4
-695234.593298462,4544659.048610532,193.24002075195312,342,57,1,Upper Devonian Siliciclastics,4
-695069.9287285891,4544366.7689990075,214.70401000976562,343,50,1,Upper Devonian Siliciclastics,4
-694577.9933260941,4544154.7633652985,260.54803466796875,327,65,1,Upper Devonian Siliciclastics,4
-694398.9206063573,4544566.42478998,286.8000183105469,15,50,1,Upper Devonian Siliciclastics,4
-694203.3814296334,4544827.829794653,314.47601318359375,30,57,1,Upper Devonian Siliciclastics,4
-697607.8214117539,4533626.522429052,270.3000183105469,3,60,1,Upper Devonian Siliciclastics,4
-696875.0640758199,4533517.432151511,301.0240173339844,0,70,1,Upper Devonian Siliciclastics,4
-696185.5311894775,4533546.248451239,269.3330078125,185,40,1,Upper Devonian Siliciclastics,4
-695901.4848064469,4533227.210847111,285.11199951171875,47,30,1,Upper Devonian Siliciclastics,4
-695500.114917382,4533054.313048745,262.4727783203125,10,75,1,Upper Devonian Siliciclastics,4
-692538.2109667948,4531821.387081822,246.864013671875,351,50,1,Upper Devonian Siliciclastics,4
-687610.6237133505,4532930.8146213405,137.28001403808594,2,22,1,Upper Devonian Siliciclastics,4
-704840.7126434171,4530656.385249974,344.8160095214844,10,60,1,Upper Carboniferous Volcanics,1
-703947.4073518573,4537926.326009853,320.14300537109375,33,35,1,Upper Carboniferous Volcanics,1
-703795.0926247248,4538072.465815615,309.30499267578125,213,50,1,Upper Carboniferous Volcanics,1
-705647.0544590125,4548915.1131649595,348.64801025390625,225,38,1,Mid Carboniferous Shales,2
-702868.3398424091,4530662.045594561,373.0520324707031,353,74,1,Visean Shales,3
